"id","location","number","id_city"
3751,ALGUMA RUA,s/n,5598
3752,ALGUMA RUA,s/n,3095
3782,ALGUMA RUA,S/N,3852
3790,ALGUMA RUA,SN,4475
3791,ALGUMA RUA,SN,4782
3797,ALGUMA RUA,,680
3798,ALGUMA RUA,,626
3800,ALGUMA RUA,,626
3801,ALGUMA RUA,,268
11,ALGUMA RUA,,4960
14,ALGUMA RUA,"1001",3096
3803,ALGUMA RUA,,626
3804,ALGUMA RUA,,245
3811,ALGUMA RUA,,3400
3812,ALGUMA RUA,,5310
3815,ALGUMA RUA,,626
3816,ALGUMA RUA,,1192
3819,ALGUMA RUA,,626
3820,ALGUMA RUA,,1189
3823,ALGUMA RUA,s/n,369
3824,ALGUMA RUA,s/n,197
3826,ALGUMA RUA,"85",3364
3829,ALGUMA RUA,s/n,5383
3830,ALGUMA RUA,s/n,2310
3833,ALGUMA RUA,s/n,5594
3834,ALGUMA RUA,s/n,2310
3836,ALGUMA RUA,,626
3837,ALGUMA RUA,,1096
3839,ALGUMA RUA,"4005",3636
3841,ALGUMA RUA,S/N,3729
3843,ALGUMA RUA,"9",3364
3846,ALGUMA RUA,,502
3847,ALGUMA RUA,,197
3850,ALGUMA RUA,,5449
45,ALGUMA RUA,,4960
3851,ALGUMA RUA,s/n,2310
3853,ALGUMA RUA,s/n,5385
3854,ALGUMA RUA,s/n,2310
3856,ALGUMA RUA,,502
76,ALGUMA RUA,"4459",2947
77,ALGUMA RUA,"314",3900
78,ALGUMA RUA,S/N,3682
67,ALGUMA RUA,"1562",5114
79,ALGUMA RUA,"816",3729
3857,ALGUMA RUA,,197
1,ALGUMA RUA,"1162",4960
12,ALGUMA RUA,"113",3858
13,ALGUMA RUA,"980",3360
15,ALGUMA RUA,"40",3842
16,ALGUMA RUA,"62",2191
17,ALGUMA RUA,"100",3858
18,ALGUMA RUA,"690",3270
20,ALGUMA RUA,"12-E",2232
22,ALGUMA RUA,"9170",4149
23,ALGUMA RUA,"546",3858
46,ALGUMA RUA,"116",3858
47,ALGUMA RUA,"74",3640
48,ALGUMA RUA,"91",3858
49,ALGUMA RUA,"1555",3803
50,ALGUMA RUA,"332",3508
51,ALGUMA RUA,S/N,5324
52,ALGUMA RUA,"870",3932
53,ALGUMA RUA,NAO INFORMADO,2873
54,ALGUMA RUA,"1028",3211
55,ALGUMA RUA,"64",2653
56,ALGUMA RUA,"163",2519
57,ALGUMA RUA,"300",4557
58,ALGUMA RUA,"175",3211
59,ALGUMA RUA,S/N,3158
60,ALGUMA RUA,"13",3010
61,ALGUMA RUA,"5644",3944
62,ALGUMA RUA,"55",3683
63,ALGUMA RUA,"8301",2519
64,ALGUMA RUA,"85",3859
65,ALGUMA RUA,"337",5163
66,ALGUMA RUA,"133",3858
68,ALGUMA RUA,"132-E",4406
69,ALGUMA RUA,"4550",3508
70,ALGUMA RUA,SEM NUMERO,2809
71,ALGUMA RUA,"81",2394
72,ALGUMA RUA,"26",2344
73,ALGUMA RUA,"73",3142
80,ALGUMA RUA,SN,384
81,ALGUMA RUA,"200",3729
82,ALGUMA RUA,"3410A",4616
83,ALGUMA RUA,"4320",5475
84,ALGUMA RUA,"221",3237
85,ALGUMA RUA,"1118",4059
86,ALGUMA RUA,SEM NUMERO,3096
87,ALGUMA RUA,"1504",3096
