"id","name","active","acting"
1088,Embarcador 1088,true,CUSTOMER
1539,Embarcador 1539,true,CUSTOMER
1191,Embarcador 1191,true,CUSTOMER
1398,Embarcador 1398,true,CUSTOMER
284,Embarcador 284,true,CUSTOMER
257,Embarcador 257,true,BOTH
140,Embarcador 140,true,BOTH
612,Embarcador 612,true,CUSTOMER
1280,Embarcador 1280,true,CUSTOMER
1377,Embarcador 1377,true,CUSTOMER
1142,Embarcador 1142,true,BOTH
1383,Embarcador 1383,true,CUSTOMER
1385,Embarcador 1385,true,CUSTOMER
1419,Embarcador 1419,true,CUSTOMER
