"id","id_offer_provider","avg_unit_value","amount","total_toll_value","active"
166205,4358313,249.00,13.3100,,true
166208,4358523,299.00,13.0200,,true
166223,4358103,179.00,26.6200,,true
166231,4358712,85.00,0.5000,,true
166232,4358728,75.00,2.0000,,true
166233,4358721,65.00,2.0000,,true
166234,4358703,160.00,1000.0000,,true
166235,4358723,170.00,2.0000,,true
166236,4358698,190.00,30.0000,,true
166237,4358717,65.00,2.0000,,true
166238,4358724,65.00,2.0000,,true
166239,4358727,70.00,2.0000,,true
166240,4358704,160.00,8000.0000,,true
166241,4358707,130.00,9.0000,,true
166242,4358718,80.00,2.0000,,true
166243,4358725,75.00,0.0010,,true
166244,4358699,185.00,200.0000,,true
166245,4358716,70.00,2.0000,,true
166246,4358696,165.00,8000.0000,,true
166247,4358719,190.00,0.2000,,true
166248,4358709,195.00,500.0000,,true
166263,4358109,155.00,26.6200,,true
166290,4358108,129.00,26.6200,,true
166304,4358087,148.90,26.6200,,true
166334,4358245,122.00,26.6200,,true
166353,4359505,92.00,600.0000,,true
166357,4358952,115.00,1000.0000,,true
166361,4358297,205.00,13.3100,,true
166363,4359270,160.00,1000.0000,,true
166364,4359509,160.00,1000.0000,,true
166368,4358366,209.00,13.3100,,true
166375,4359983,140.00,1000.0000,,true
166348,4359110,120.00,0.0750,,false
166377,4358156,169.00,26.6200,,true
166378,4359746,160.00,1000.0000,,true
166380,4359268,176.50,30000.0000,,true
166381,4359786,150.00,5500.0000,,true
166340,4359036,120.00,0.0750,,false
166388,4358507,345.00,13.0200,,true
166391,4360212,130.00,1000.0000,,true
166392,4359529,140.00,2000.0000,,true
166395,4360219,61.00,200.0000,,true
166397,4359709,140.00,600.0000,,true
166352,4359709,145.00,800.0000,,false
166398,4359687,150.00,2000.0000,,true
166400,4359744,164.70,8000.0000,,true
166404,4359285,140.00,20000.0000,,true
166405,4359314,135.00,7100.0000,,true
166408,4359524,145.00,1000.0000,,true
166409,4358150,145.00,26.6200,,true
166410,4359553,155.00,2000.0000,,true
166413,4358996,135.00,5000.0000,,true
166414,4360067,130.00,0.0750,,true
166417,4359761,140.00,5000.0000,,true
166419,4360141,130.00,0.0750,,true
166422,4360356,125.00,5000.0000,,true
166433,4360829,115.00,1000.0000,,true
166436,4359588,150.00,1.0000,,true
166442,4360882,150.00,1000.0000,,true
166449,4359675,140.00,2000.0000,,true
166451,4359436,125.00,5000.0000,,true
166460,4359118,115.00,2000.0000,,true
166462,4360724,115.00,2000.0000,,true
166464,4361605,130.00,2000.0000,,true
166465,4359122,130.00,200.0000,,true
166467,4360478,140.00,5000.0000,,true
166469,4359440,150.00,200.0000,,true
166470,4360149,115.00,1000.0000,,true
166472,4360541,130.00,1000.0000,,true
166473,4359916,155.00,200.0000,,true
166474,4361286,105.00,5000.0000,,true
166477,4360153,145.00,200.0000,,true
166479,4360162,140.00,8000.0000,,true
166482,4361439,160.00,1000.0000,,true
166485,4360117,130.00,7.0000,,true
166487,4361469,155.00,5.0000,,true
166490,4359300,140.00,5.0000,,true
166491,4360482,140.00,200.0000,,true
166492,4360013,130.00,3.0000,,true
166493,4361150,108.00,5.0000,,true
166496,4360912,115.00,5.0000,,true
166498,4361120,115.00,1000.0000,,true
166499,4360342,135.00,2.6000,,true
166500,4360191,110.00,150.0000,,true
166501,4358982,118.00,2.2000,,true
166502,4360520,119.00,200.0000,,true
166505,4361281,120.00,2500.0000,,true
166506,4360780,130.00,2.0000,,true
166507,4361355,175.10,34.8000,,true
166509,4363209,160.00,250.0000,,true
166514,4363195,68.00,300.0000,,true
166515,4360860,50.00,360.0000,,true
166516,4360491,142.00,5000.0000,,true
166520,4363207,134.00,250.0000,,true
