"id","id_offer","id_address_from","id_address_to","amount","budgeted_value"
46258,35616,156197,156198,2493.0000,62.50
46024,35495,154498,154499,26.6200,187.04
46063,35526,154754,154755,700.0000,145.00
46306,35663,156599,156600,3000.0000,19.00
46052,35515,154640,154641,300.0000,181.70
46140,35592,155457,155458,26.4000,153.03
46318,35675,156661,156662,31.2000,181.12
46079,35542,155015,155016,300.0000,145.00
46331,35688,156687,156688,28.8000,145.27
46108,35561,155197,155198,10800.0000,180.00
46046,35509,154612,154613,2000.0000,185.00
46068,35531,154935,154936,120.0000,208.00
46071,35534,154951,154952,235.0000,62.50
46132,35584,155381,155382,600.0000,150.00
46276,35634,156378,156379,846.0000,80.00
46277,35635,156394,156395,1.0000,950.00
46096,35553,155119,155120,100.0000,310.00
46069,35532,154937,154938,600.0000,284.85
46288,35645,156476,156477,800.0000,100.00
46294,35651,156496,156497,720.0000,88.00
46328,35685,156681,156682,36.0000,223.49
46313,35670,156651,156652,25.6000,139.68
46312,35669,156639,156640,4221.0000,145.00
46325,35682,156675,156676,26.4000,141.92
46077,35540,155001,155002,1699.3400,120.00
46311,35668,156633,156634,1500.0000,290.00
46056,35519,154658,154659,17400.0000,90.00
46321,35678,156667,156668,30.0000,134.10
46324,35681,156673,156674,26.4000,139.68
46310,35667,156629,156630,1500.0000,145.00
46053,35516,154646,154647,10000.0000,110.00
46286,35643,156458,156459,750.0000,245.00
46051,35514,154638,154639,10600.0000,125.00
46144,35596,155465,155466,48.0000,116.03
46303,35660,156579,156580,165.0000,55.00
46243,35603,155693,155694,3.3000,153.03
46227,35603,155661,155662,1.2000,153.03
46228,35603,155663,155664,0.0200,153.03
46229,35603,155665,155666,1.2100,153.03
46230,35603,155667,155668,0.0200,153.03
46231,35603,155669,155670,0.0200,153.03
46232,35603,155671,155672,0.0400,518.57
46233,35603,155673,155674,0.0500,153.03
46234,35603,155675,155676,1.2100,153.03
46235,35603,155677,155678,0.0200,153.03
46236,35603,155679,155680,0.0200,153.03
46237,35603,155681,155682,0.0400,518.57
46238,35603,155683,155684,0.0200,153.03
46239,35603,155685,155686,1.2100,153.03
46240,35603,155687,155688,0.0200,153.03
46241,35603,155689,155690,0.0200,153.03
46242,35603,155691,155692,0.0200,153.03
46244,35603,155695,155696,2.8000,153.03
46245,35603,155697,155698,1.2500,153.03
46360,35697,156764,156765,3376.0000,250.00
46139,35591,155455,155456,26.4000,153.03
46060,35523,154720,154721,31.2000,181.12
46362,35699,156796,156797,113.2400,85.00
46334,35690,156693,156694,15.4000,278.32
46335,35690,156695,156696,0.1200,1039.10
46336,35690,156697,156698,15.4000,278.32
46337,35690,156699,156700,0.1200,1039.10
46109,35562,155201,155202,2000.0000,108.00
46048,35511,154620,154621,16000.0000,118.00
46057,35520,154690,154691,34.8000,192.41
46072,35535,154963,154964,217.7550,115.00
46330,35687,156685,156686,28.8000,145.27
46135,35587,155421,155422,2000.0000,115.00
46025,35496,154500,154501,13.3100,187.04
46075,35538,154989,154990,1200.0000,75.00
46146,35598,155469,155470,2.4200,153.03
46164,35598,155505,155506,1.2100,153.03
46165,35598,155507,155508,0.0100,153.03
46147,35598,155471,155472,0.0200,153.03
46148,35598,155473,155474,0.0100,153.03
46149,35598,155475,155476,0.2500,153.03
46150,35598,155477,155478,1.2100,153.03
46151,35598,155479,155480,0.0100,153.03
46152,35598,155481,155482,0.0500,153.03
46153,35598,155483,155484,2.4200,153.03
46154,35598,155485,155486,0.0100,153.03
46155,35598,155487,155488,0.1000,153.03
46156,35598,155489,155490,2.4200,153.03
46157,35598,155491,155492,0.0100,153.03
46158,35598,155493,155494,0.0100,153.03
46159,35598,155495,155496,0.1000,153.03
46160,35598,155497,155498,2.4200,153.03
46161,35598,155499,155500,0.0200,153.03
46162,35598,155501,155502,0.0100,153.03
46163,35598,155503,155504,0.1000,153.03
46166,35598,155509,155510,0.0100,153.03
46167,35598,155511,155512,0.1000,153.03
46371,35708,156878,156879,1500.0000,210.00
46129,35581,155375,155376,26.4000,128.51
46370,35707,156828,156829,10000.0000,85.00
46091,35548,155085,155086,25.9000,70.00
46287,35644,156472,156473,3000.0000,100.00
