"id","id_offer_bid","id_offer","amount","total_value","active","agreed"
36166,166233,35499,2.0000,130.00,true,true
36170,166353,35507,200.0000,18400.00,true,true
36216,166567,35533,214.8000,36086.40,true,true
36226,166507,35520,34.8000,6093.48,true,true
36229,166647,35508,2500.0000,500000.00,true,true
36236,166592,35532,300.0000,66000.00,true,true
36235,166774,35525,400.0000,88000.00,true,true
36246,166837,35565,180.0000,18000.00,true,true
36256,166948,35575,220.0000,20900.00,true,
36257,166938,35573,118.8000,10098.00,true,true
36255,166936,35575,220.3400,20932.30,true,true
36243,166702,35537,432.0000,60480.00,true,true
36280,167073,35581,26.4000,2851.20,true,true
36267,166997,35588,300.0000,7410.00,true,true
36270,166816,35558,28.8000,3196.80,true,true
36274,167011,35584,600.0000,99000.00,true,true
36279,167028,35580,28.8000,3142.66,true,true
36286,167048,35595,29.0400,3049.20,true,true
36291,167025,35600,13.2100,4213.99,true,true
36285,167047,35593,26.4000,2877.60,true,true
36292,167026,35603,12.4900,4109.21,true,true
36293,167115,35606,1000.0000,103000.00,true,
36288,167036,35597,48.0000,2880.00,true,true
36301,167216,35616,700.0000,41160.00,true,
36300,167183,35616,1093.0000,64268.40,true,true
36297,167175,35608,487.0000,114932.00,true,true
36305,167189,35618,138.0000,7176.00,true,true
36312,167231,35607,2700.0000,661500.00,true,
36326,167293,35625,1560.0000,151320.00,true,true
36317,167039,35516,3900.0000,417300.00,true,true
36319,167237,35620,1000.0000,50000.00,true,true
36315,167251,35611,300.0000,49200.00,true,true
36320,167218,35620,1000.0000,50000.00,true,true
36314,167153,35611,300.0000,49200.00,true,true
36336,167428,35654,1500.0000,164850.00,true,true
36358,167661,35700,87.3600,6552.00,true,true
36345,167515,35648,31.2000,5272.80,true,true
36357,167663,35701,44.4200,3775.70,true,true
36364,167610,35671,13.7500,1882.24,true,true
36333,167427,35652,802400.0000,87920.00,false,true
36377,167629,35684,28.8000,3254.40,true,true
36385,167638,35692,25.2000,4284.00,true,true
36381,167646,35688,28.8000,3888.00,true,true
36380,167642,35687,28.8000,3888.00,true,true
36382,167636,35689,12.4000,1497.00,true,true
36408,166451,35506,4650.0000,581250.00,true,true
36425,166631,35506,6200.0000,775000.00,true,true
36423,167827,35519,5700.0000,532950.00,true,true
36449,167440,35658,400.0000,47160.00,true,true
36436,166485,35511,6500.0000,760500.00,true,true
36440,167041,35561,3900.0000,604500.00,true,true
36186,166208,35497,13.0200,3892.98,true,true
36190,166334,35495,26.6200,3247.64,true,true
36214,166538,35528,1500.0000,109500.00,true,
36221,166711,35548,25.9000,2253.30,true,
36217,166547,35533,214.8000,36086.40,true,true
36224,166576,35527,420.0000,62580.00,true,
36245,166581,35530,25.0000,3350.00,true,true
36242,166800,35559,800.0000,41600.00,true,
36237,166775,35532,300.0000,66000.00,true,true
36249,166890,35566,200.1300,19012.35,true,
36253,166900,35570,47.9400,5513.10,true,true
36254,166899,35569,115.3100,9455.42,true,
