"id","id_company","id_trading_unit","amount","winners_selected","total_budgeted_value"
35716,297,1,351.1500,0,91299.00
35715,2121,22,300.0000,1,33000.00
35714,2121,22,600.0000,1,39000.00
35713,2118,25,600.0000,0,67200.00
35712,2121,22,660.0000,1,59400.00
35711,1155,8,29.1300,1,6983.05
35708,399,3,1500.0000,1,315000.00
35707,2121,22,10000.0000,0,850000.00
35706,2121,22,250.0000,1,14500.00
35705,297,1,109.9200,1,10002.72
35704,297,1,334.6900,1,30456.79
35703,297,1,467.7400,1,42564.34
35702,297,1,362.2800,1,32967.48
35701,297,1,44.4200,1,4219.90
35700,297,1,87.3600,1,8299.20
35699,297,1,113.2400,1,9625.40
35698,297,1,108.6800,1,10324.60
35697,705,2,3376.0000,2,844000.00
35696,1155,8,12.9400,1,1754.28
35695,1155,8,8.9000,1,1067.04
35694,1155,8,26.6200,1,6381.35
35693,1155,8,29.1300,0,6983.05
35692,1155,8,25.2000,1,6040.94
35691,1155,8,20.4400,1,7680.98
35690,1155,8,31.0400,1,8821.64
35689,1155,8,12.4000,1,1355.51
35688,1161,8,28.8000,1,4183.78
35687,1161,8,28.8000,1,4183.78
35686,1161,8,26.4000,1,3687.55
35685,1161,8,36.0000,1,8045.64
35684,1161,8,28.8000,1,3862.08
35683,1156,8,28.8000,1,6436.51
35682,1156,8,26.4000,1,3746.69
35681,1156,8,26.4000,1,3687.55
35680,1156,8,12.5000,1,1606.38
35679,1159,8,36.0000,1,8045.64
35678,1155,8,30.0000,1,4023.00
35677,1156,8,31.2000,1,5650.94
35676,1156,8,31.2000,1,5650.94
35675,1156,8,31.2000,1,5650.94
35674,1156,8,31.2000,1,5650.94
35673,1161,8,36.0000,1,8045.64
35672,1156,8,28.8000,1,6436.51
35671,1155,8,13.7500,1,1909.60
35670,1160,8,25.6000,1,3575.81
35669,606,2,4221.0000,1,612045.00
35668,297,1,1500.0000,1,435000.00
35667,606,2,1500.0000,0,217500.00
35666,297,1,1500.0000,0,435000.00
35665,606,2,5898.2600,0,796265.10
35664,2866,62,230.0000,0,19550.00
35663,2121,22,3000.0000,1,57000.00
35662,2118,25,600.0000,0,600.00
35661,2118,25,600.0000,0,72000.00
35660,297,1,165.0000,1,9075.00
35659,2493,49,1020.0000,1,193800.00
35658,2492,49,800.0000,2,80000.00
35655,297,1,2100.0000,1,136500.00
35654,2492,49,3000.0000,2,300000.00
35652,2492,49,1605607.1998,1,80000.00
35651,2118,25,720.0000,0,63360.00
35650,2118,25,720.0000,0,28800.00
35649,1156,8,31.2000,1,5650.94
35648,1156,8,31.2000,1,5650.94
35647,2118,25,720.0000,0,720.00
35646,2118,25,720.0000,0,720.00
35645,2492,49,800.0000,0,80000.00
35644,2492,49,3000.0000,0,300000.00
35643,297,1,750.0000,1,183750.00
35639,1159,8,105.0000,1,6641.25
35638,1155,8,315.0000,1,18956.70
35636,2506,41,15000.0000,1,720000.00
35635,2598,50,1.0000,0,950.00
35634,297,1,846.0000,0,67680.00
35633,705,2,964.0000,2,91869.20
35632,297,1,1800.0000,1,360000.00
