"id","name","type","abbrev","ibge","bacen","id_place_parent"
1,Brasil,COUNTRY,BRA,"0","1058",
2,Rondônia,STATE,RO,"11",,1
3,Acre,STATE,AC,"12",,1
4,Amazonas,STATE,AM,"13",,1
5,Roraima,STATE,RR,"14",,1
6,Pará,STATE,PA,"15",,1
7,Amapá,STATE,AP,"16",,1
8,Tocantins,STATE,TO,"17",,1
9,Maranhão,STATE,MA,"21",,1
10,Piauí,STATE,PI,"22",,1
11,Ceará,STATE,CE,"23",,1
12,Rio Grande do Norte,STATE,RN,"24",,1
13,Paraíba,STATE,PB,"25",,1
14,Pernambuco,STATE,PE,"26",,1
15,Alagoas,STATE,AL,"27",,1
16,Sergipe,STATE,SE,"28",,1
17,Bahia,STATE,BA,"29",,1
18,Minas Gerais,STATE,MG,"31",,1
19,Espirito Santo,STATE,ES,"32",,1
20,Rio de Janeiro,STATE,RJ,"33",,1
21,São Paulo,STATE,SP,"35",,1
22,Paraná,STATE,PR,"41",,1
23,Santa Catarina,STATE,SC,"42",,1
24,Rio Grande do Sul,STATE,RS,"43",,1
25,Mato Grosso do Sul,STATE,MS,"50",,1
26,Mato Grosso,STATE,MT,"51",,1
27,Goiás,STATE,GO,"52",,1
28,Distrito Federal,STATE,DF,"53",,1
29,Alta Floresta D'Oeste,CITY,"","1100015",,2
30,Ariquemes,CITY,"","1100023",,2
31,Cabixi,CITY,"","1100031",,2
32,Cacoal,CITY,"","1100049",,2
33,Cerejeiras,CITY,"","1100056",,2
34,Colorado do Oeste,CITY,"","1100064",,2
35,Corumbiara,CITY,"","1100072",,2
36,Costa Marques,CITY,"","1100080",,2
37,Espigão do Oeste,CITY,"","1100098",,2
38,Guajará-Mirim,CITY,"","1100106",,2
39,Jaru,CITY,"","1100114",,2
40,Ji-Paraná,CITY,"","1100122",,2
41,Machadinho D'Oeste,CITY,"","1100130",,2
42,Nova Brasilândia D'Oeste,CITY,"","1100148",,2
43,Ouro Preto do Oeste,CITY,"","1100155",,2
44,Pimenta Bueno,CITY,"","1100189",,2
45,Porto Velho,CITY,"","1100205",,2
46,Presidente Médici,CITY,"","1100254",,2
47,Rio Crespo,CITY,"","1100262",,2
48,Rolim de Moura,CITY,"","1100288",,2
49,Santa Luzia D'Oeste,CITY,"","1100296",,2
50,Vilhena,CITY,"","1100304",,2
51,São Miguel do Guaporé,CITY,"","1100320",,2
52,Nova Mamoré,CITY,"","1100338",,2
53,Alvorada D'Oeste,CITY,"","1100346",,2
54,Alto Alegre dos Parecis,CITY,"","1100379",,2
55,Alto Paraíso,CITY,"","1100403",,2
56,Buritis,CITY,"","1100452",,2
57,Novo Horizonte do Oeste,CITY,"","1100502",,2
58,Cacaulândia,CITY,"","1100601",,2
59,Campo Novo de Rondônia,CITY,"","1100700",,2
60,Candeias do Jamari,CITY,"","1100809",,2
61,Castanheiras,CITY,"","1100908",,2
62,Chupinguaia,CITY,"","1100924",,2
63,Cujubim,CITY,"","1100940",,2
64,Governador Jorge Teixeira,CITY,"","1101005",,2
65,Itapuã do Oeste,CITY,"","1101104",,2
66,Ministro Andreazza,CITY,"","1101203",,2
67,Mirante da Serra,CITY,"","1101302",,2
68,Monte Negro,CITY,"","1101401",,2
69,Nova União,CITY,"","1101435",,2
70,Parecis,CITY,"","1101450",,2
71,Pimenteiras do Oeste,CITY,"","1101468",,2
72,Primavera de Rondônia,CITY,"","1101476",,2
73,São Felipe D'Oeste,CITY,"","1101484",,2
